CÓDIGOS,TÍTULOS CONTÁBEIS,ATRIBUTOS,E,conta
1.1.0.00.00.00-2,DISPONIBILIDADES,,-,1100000002
1.1.1.00.00.00-9,Caixa,,-,1110000009
1.1.1.10.00.00-8,CAIXA,,111,1111000008
1.1.1.90.00.00-0,CAIXA,,-,1119000000
1.1.2.00.00.00-6,Depósitos Bancários,,-,1120000006
1.1.2.30.00.00-3,DEPÓSITOS BANCÁRIOS DE INSTITUIÇÕES SEM CONTA RESERVA,,112,1123000003
1.1.2.92.00.00-3,DEPÓSITOS BANCÁRIOS,,-,1129200003
1.1.3.00.00.00-3,Reservas Livres,,-,1130000003
1.1.3.10.00.00-2,BANCO CENTRAL - RESERVAS LIVRES EM ESPÉCIE,,113,1131000002
1.1.3.90.00.00-4,BANCO CENTRAL - OUTRAS RESERVAS LIVRES,,113,1139000004
1.1.5.00.00.00-7,Disponibilidades em Moedas Estrangeiras,,-,1150000007
1.1.5.10.00.00-6,BANCOS - DEPÓSITOS EM MOEDAS ESTRANGEIRAS NO PAÍS,,112,1151000006
1.1.5.20.00.00-5,DEPÓSITOS NO EXTERIOR EM MOEDAS ESTRANGEIRAS,,112,1152000005
1.1.5.40.00.00-3,DISPONIBILIDADES EM MOEDAS ESTRANGEIRAS,,112,1154000003
1.1.9.00.00.00-5,Disponibilidades - Outras,,-,1190000005
1.1.9.10.00.00-4,DISPONIBILIDADES FINANCEIRAS - CARTEIRAS DE ATIVOS - LIG,,112,1191000004
1.1.9.30.00.00-2,NUMERÁRIO EM TRÂNSITO - TERCEIROS,,112,1193000002
1.2.0.00.00.00-5,APLICAÇÕES INTERFINANCEIRAS DE LIQUIDEZ,,-,1200000005
1.2.1.00.00.00-2,Aplicações em Operações Compromissadas,,-,1210000002
1.2.1.10.00.00-1,REVENDAS A LIQUIDAR - POSIÇÃO BANCADA,,120,1211000001
1.2.1.10.01.00-0,Títulos Públicos Federais - No País,,-,1211001000
1.2.1.10.01.10-3,Saldo Contábil Bruto,,-,1211001103
1.2.1.10.01.40-2,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1211001402
1.2.1.10.01.60-8,(-) Perda Esperada Associada ao Risco de Crédito,,-,1211001608
1.2.1.10.01.70-1,(+/-) Ajuste de Hedge de Valor Justo,,-,1211001701
1.2.1.10.01.80-4,(+/-) Ajuste a Valor Justo,,-,1211001804
1.2.1.10.31.00-1,Títulos Privados - No País,,-,1211031001
1.2.1.10.31.10-4,Saldo Contábil Bruto,,-,1211031104
1.2.1.10.31.40-3,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1211031403
1.2.1.10.31.60-9,(-) Perda Esperada Associada ao Risco de Crédito,,-,1211031609
1.2.1.10.31.70-2,(+/-) Ajuste de Hedge de Valor Justo,,-,1211031702
1.2.1.10.31.80-5,(+/-) Ajuste a Valor Justo,,-,1211031805
1.2.1.10.70.00-0,Títulos de Responsabilidade da União no Exterior,,-,1211070000
1.2.1.10.70.10-3,Saldo Contábil Bruto,,-,1211070103
1.2.1.10.70.40-2,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1211070402
1.2.1.10.70.60-8,(-) Perda Esperada Associada ao Risco de Crédito,,-,1211070608
1.2.1.10.70.70-1,(+/-) Ajuste de Hedge de Valor Justo,,-,1211070701
1.2.1.10.70.80-4,(+/-) Ajuste a Valor Justo,,-,1211070804
1.2.1.10.85.00-2,Outros Títulos no Exterior,,-,1211085002
1.2.1.10.85.10-5,Saldo Contábil Bruto,,-,1211085105
1.2.1.10.85.40-4,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1211085404
1.2.1.10.85.60-0,(-) Perda Esperada Associada ao Risco de Crédito,,-,1211085600
1.2.1.10.85.70-3,(+/-) Ajuste de Hedge de Valor Justo,,-,1211085703
1.2.1.10.85.80-6,(+/-) Ajuste a Valor Justo,,-,1211085806
1.2.1.10.91.00-3,Títulos Vinculados a Saldos em Conta Pré-Paga,,-,1211091003
1.2.1.10.91.10-6,Saldo Contábil Bruto,,-,1211091106
1.2.1.10.91.40-5,(-) Perda Incorrida Associada ao Risco de Crédito,,-,1211091405
1.2.1.10.91.60-1,(-) Perda Esperada Associada ao Risco de Crédito,,-,1211091601
